arrière-grand-oncle,great-granduncle
arrière-grand-parent,great grandparent
arrière-grand-père,great-grandfather (father of grandparent)
arrière-grand-tante,great-grandaunt
arrière-main,hindquarters (of an animal)(tennis) backhand
arrière-neveu,grandnephew
arrière-nièce,grandniece
arrière-pays,hinterland (land immediately next to a coast)
arrière-pensée,"ulterior motivedoubt, reservation"
arrière-petit-enfant,great-grandchild (grandchild of someone’s child)
arrière-petit-fils,great-grandson
arrière-petit-neveu,great-grandnephew
arrière-petite-fille,great-granddaughter
arrière-petite-nièce,great-grandniece
arrière-plan,background (part of picture)
arrière-point,a type of needlepoint with overlapping stitches
arrière-port,an inner port
arrière-rang,Last row of attacking soldiersrearguard
arrière-saison,autumn (especially late autumn)the beginnings of old agethe last months before harvest
arrière-salle,an inner room (behind another one)
arrière-scène,backstage
arrière-train,"the rear of a train, or 4x4 vehiclehindquarters (of an animal)caboose, posterior, hindquarters (buttocks of a human)"
arrière-voussure,(architecture) an arch behind a door or window
arrière-été,late summer (near the onset of autumn)
arriération,"retardation, backwardness"
arriérer,to tarry (be late)
arriéré,late (for work or debt)(derogatory) backwards (behind current trends)
arrobe,"(computing, rare) the at symbol, @"
arroche,orach
arrocher,Synonym of lapider
arrogamment,arrogantly
arrogance,arrogance
arrogant,arrogant
arrogeable,appropriatable
arroger,"(reflexive) to arrogate, appropriate; to assume (a position, right etc.)"
arrondi,"rounded (made circular or spherical)(mathematics, of a number) rounded (approximated to its nearest round value)(phonetics, phonology) rounded (pronounced with lips drawn together)"
arrondir,"to round (make round)(of a sum of money) to round up, round down or round off"
arrondir les angles,"(figuratively) to smooth things out, to smooth things over"
arrondir ses fins de mois,"(figuratively, informal) to gain a little extra money, to supplement one's income"
arrondissage,rounding (mechanical)
arrondissement,"roundingarrondissement(Canada) arrondissement, a borough (submunicipal administrative division)"
arrosable,irrigable
arrosage,"watering (act of giving or adding water)(figuratively) bribery, bribe"
arrosement,"watering, irrigation"
arroser,"to water (e.g. plants)to sprinkleto squirtto sprayto celebrate (with a drink)to grease someone's palm, to bribe"
arroseur,sprinklerwaterer (someone who waters plants)
arroseur arrosé,"(figuratively) the biter bit; one who receives the same comeuppance they planned for others, particularly through their own actions to bring this about, or such a situation"
arroseuse,water cartwaterer (feminine of: arroseur)
arrosoir,watering can
arrosé,watered
arroyo,arroyo
arrucat,smooth golden fleece (Urospermum dalechampii)
arrèc,"ravine, stream (commonly seen in toponyms in Gascony)"
arrérager,to be in arrears
arrérages,(financial) arrears
arrêt,"stopping, checking, arrest (in development, growth, machinery etc.)stop (place)(law) judgment, rulingsafety catch, stop button(hockey) stop, save"
arrêt Idaho,rolling stop
arrêt cardiaque,cardiac arrest
arrêt de bus,bus stop (a stop for public transport busses)
arrêt de jeu,(sports) time-out
arrêt de mort,death sentence
arrêt de travail,"a work stoppage (because of sickness, a strike, or an accident)"
arrêt maladie,"sick leave, sick day"
arrêt sur image,"(cinematography) freeze-frame, freeze-frame shot"
arrêt-court,(baseball) shortstop
arrêtable,stoppablearrestable
arrête-bœuf,restharrow
arrêter,"(transitive, intransitive) to halt; to stop(somewhat archaic) to settle; to conclude; to agree (upon)(transitive) to arrest (a criminal, etc)(reflexive) to come to a stop(Louisiana, Cajun) to wait"
arrêter les frais,"(informal) to cut one's losses, to call it a day"
arrêter son char,"(informal) to give it a rest, to give it a break"
arrêtoir,"keeper, valve ball"
arrêts de jeu,(sports) injury time
arrêté,"agreement, resolution, a thing agreed on, resolved upon(law) order (ruling by an official imposing certain conditions on a group or individual)"
arsacide,Arsacid
arsenal,"(military, nautical) arsenal"
arsenic,arsenic (chemical element)
arsenicage,the use of arsenic compounds to remove parasites etc.
arsenical,arsenical
arseniqué,arsenicated
arsin,(obsolete) burn (to the skin)
arsine,(inorganic chemistry) arsine
arsirène,(organic chemistry) arsirene
arsis,arsis
arsouille,"(dated, colloquial) ruffian"
arsphénamine,(organic chemistry) arsphenamine
arsète,(organic chemistry) arsete
arséniate,(inorganic chemistry) arsenate
arsénical,arsenical
arsénicisme,arsenic poisoning
arsénien,(mineralogy) arsenian
arsénieux,(inorganic chemistry) arsenious
arsénifère,arseniferous
arsénique,(inorganic chemistry) arsenic (of oxidation state 5)
arsénite,(inorganic chemistry) arsenite
arséniure,(inorganic chemistry) arsenide
arsénié,arsenical (containing arsenic)
arsénobétaïne,(organic chemistry) arsenobetaine
arsénolidine,(organic chemistry) arsenolidine
arsépane,(organic chemistry) arsepane
arsépine,(organic chemistry) arsepine
arsétane,(organic chemistry) arsetane
art,art (something pleasing to the mind)
art abstrait,abstract art
art brut,(uncountable) outsider art (art created by people with no artistic education)
art de la guerre,art of war
art de vivre,"the knowledge of how to enjoy life, or the practice of it"
art figuratif,figurative art
art martial,martial art
art pariétal,cave painting
art plastique,(often in the plural) plastic art
art visuel,(often in the plural) visual art
artabe,artab
artchi,Archi (language)
artel,artel
arthralgie,(pathology) arthralgia
arthralgique,arthralgic
arthrite,arthritis
arthritique,(pathology) arthritic
arthritisme,(pathology) arthritism
arthrodie,(anatomy) arthrodia
arthrographie,arthrography
arthrologie,(anatomy) arthrology
arthrologique,arthrological
arthromère,(entomology) arthromere
arthropathie,(pathology) arthropathy
arthroplastie,(surgery) arthroplasty
arthropode,arthropod
arthroscopie,arthroscopy
arthrose,(anatomy) jointosteoarthritis (inflammation of a joint)
arthurien,Arthurian
artichaut,"artichoke (plant, vegetable)"
artichautière,an artichoke plantationa vessel used to cook artichokes
artichonade,"a traditional Provençal spreadable dish consisting of artichokes, garlic, olive oil and other herbs or spices"
article,"article (a piece of nonfictional writing)(grammar) articlemerchandise, sales articlesection (of a law)(dated) joint, articulationmoment (only in the phrase à l'article de la mort)"
article de foi,article of faith(figuratively) dogma
article de presse,"news article, newspaper article, press article"
article défini,(grammar) definite article
article indéfini,(grammar) indefinite article
article zéro,(grammar) zero article
articulaire,articular
articulairement,articularly
articulatif,articulative
articulation,"(anatomy) joint (joint with freedom to rotate)articulation (quality, clarity or sharpness of speech)"
articulatoire,(relational) of articulation; articulatory
articuler,"to join, articulate"
articulet,a short article (in a newspaper)
articulé,articulatedenunciated
articulément,distinctly
artifice,"artifice, trick, ploy(literary) device"
artificialisation,artificialization
artificialiser,to artificialize
artificialité,artificiality
artificiel,artificial
artificiellement,artificially
artificier,pyrotechnist(military) artificer
artificieusement,"artfully, deceitfullyslyly"
artificieux,"artful, deceitfulwily, cunning, sly"
artillerie,artillery
artillerie lourde,"(military) heavy artillery(figuratively) big guns, heavy artillery"
artilleur,gunner(soccer) hitman (goalscorer)
artimon,mizzen
artinien,(mathematics) Artinian
artiodactyle,even-toed ungulate (animal of the order Perissodactyla order)
artisan,artisan (manual worker)(figuratively) creator; innovator; inventor
artisanal,artisanal(often derogatory) makeshift
artisanalement,artisanally
artisanat,craft industry
artiste,artist
artistement,artfully
artistique,artistic
artistiquement,artistically
artocarpe,breadfruit (of genus Artocarpus)
artère,(anatomy) artery (blood vessel)thoroughfare
artéfact,artefact / artifact
artémise,wormwood (plant)
artériectomie,(surgery) arterial ectasis
artériel,arterial
artérieux,"(obsolete, anatomy) arterial"
artériographie,arteriography
artériole,(anatomy) arteriole
artériosclérose,(pathology) arteriosclerosis
artériotomie,arteriotomy
artérioveineux,(anatomy) arteriovenous
artérite,(pathology) arteritis
artéritique,arteritic
artésien,artesianfrom Artois
arui,"the Barbary sheep, Ammotragus lervia"
arum,arum
aruspice,haruspex
aryanisation,Aryanization
aryaniser,to Aryanize
aryanisme,Aryanism
aryanisé,Aryanized
aryanité,Aryaness
aryen,Aryan
aryle,(organic chemistry) aryl
aryosophe,aryosophic
aryosophie,aryosophy
arythmie,arrhythmia
arythmique,arhythmic
aryténoïde,arytenoid (cartilage)
arçon,(horse riding) tree (wooden frame used in the construction of a saddle)
arène,arenaarene
aréage,area of land measured in ares
aréal,areal
aréflexie,areflexia
aréique,areic
aréna,(Canada) a hockey arena
arénacé,arenaceous
arénaire,(botany) arenaceous
aréneux,arenaceous
arénicole,arenicolous
aréniforme,"areniform, sandlike"
arénifère,"areniferous, sandy"
arénique,(organic chemistry) arenic
arénisation,(geology) arenization
arénite,(mineralogy) arenite
arénophile,(botany) arenophilic
arénuleux,arenulous
aréographie,areography
aréographique,areographic
aréolaire,areolar
aréole,areolaareole
aréolé,areolate
aréomètre,areometer
aréométrie,areometry
aréométrique,areometric
aréopage,Areopagusa diverse collection of eminent people
aréopagite,Areopagite
aréopagitique,Areopagitic
aréostyle,areostyle
aréquier,areca
arétin,"(relational) of Arrezzo, Italy"
arête,"(zoology) bone (of a fish), fishboneedge (of an object); ridge, crest (of mountain)(architecture) groin (of vault)bridge of nose(botany) beard (of rye, barley etc.); awn(graph theory) edge"
arêtier,(architecture) hip (structural member)
arôme,aromaflavoring
as,ace (card of value 1)ace (expert or pilot)as (Roman coin)
as des as,(military) ace of aces
as-tu besoin d'aide,(familiar) do you need help?
as-tu des frères et sœurs,do you have any brothers or sisters? (informal)
asacramentaire,asacramental (not sacramental)
asaret,"wild spikenard, asarabacca (Asarum europaeum)"
asbeste,(archaic) asbestos
asbestiforme,asbestiform
asbestose,(pathology) asbestosis
asboline,asbolin
ascalaphe,moth (of the genus Ascalapha)
ascaride,Synonym of ascaris
ascaridiase,Synonym of ascaridiose
ascaridiose,(pathology) ascariasis
ascaris,ascarid
ascendance,(astronomy) ascent(family) ancestry(meteorology) thermal. Area of rising air used by glider pilots.
ascendant,ascendant
ascendeur,ascendeur
ascendre,"(rare, dated) to ascend"
ascenseur,"lift, elevatorscroll bar"
ascenseur spatial,space elevator
ascension,ascentascension
ascensionnel,ascendingupward
ascensionner,to climb (a mountain)to ascend
ascensionniste,climber
ascidie,ascidian
ascidiiforme,ascidiform
ascite,(pathology) ascites
ascitique,ascitic
asclépiadacée,milkweed (of the genus Asclepias)
asclépiade,Asclepiadean
ascomycète,ascomycete
ascorbique,ascorbic
ascèse,asceticism
ascète,ascetic
ascétique,ascetic
ascétiquement,ascetically
ascétisme,asceticism (the principles and practices of an ascetic)
asepsie,asepsis
aseptique,aseptic
aseptiquement,aseptically
aseptisation,"sterilization, disinfecting"
aseptiser,"to sterilize, to disinfect"
asexualité,asexuality
asexuel,asexual
asexuellement,(biology) asexually
asexué,asexual (genderless)asexual (without sex; not involving sexual intercourse)
ashkénaze,Ashkenazi
ashram,ashram
asialie,(pathology) asialism
asiarcat,Asiarchate
asiarchie,Asiarchate
asiarque,Asiarch
asiate,"Asian, Asiatic"
asiatique,(relational) of Asia; Asian; Asiatic
asien,(rare) Asian
asilaire,(relational) asylum
asile,"asylum (place of safety or refuge)retirement home, old people's home(colloquial) asylum (psychiatric institution)(figuratively) protection, defense"
asiner,to play the fool
asinesque,asinine (like a donkey)
asinien,asinine
asinin,asinine
askari,(historical) askari
askip,"(slang) apparently, they say (that), rumour has it (that)"
asociabilité,asociality
asocial,asocial
asparagine,(biochemistry) asparagine
aspartique,(organic chemistry) aspartic
aspe,asp (fish)
aspect,aspect(grammar) aspect (grammatical quality of a verb)
aspectuel,aspectual
asperge,"asparagus (plant, vegetable)(informal) a tall, thin person; a beanpole"
asperger,"to spray, sprinkleto splash, splatter"
aspergille,aspergillus
aspergilliforme,(botany) aspergilliform
aspergillose,(pathoogy) aspergillosis
aspermatisme,aspermatism
asperme,aspermic
aspermie,(medicine) aspermia
asperseur,"sprinkler (agricultural, or against fire)"
aspersion,aspersionsprinkling
aspersoir,aspergillum
asphaltage,asphalting (roadmaking)
asphalte,asphalt
asphalter,(transitive) to asphalt
asphaltique,asphaltic
asphodèle,(botany) asphodel (plant of the genus Asphodelus)
asphodèle blanc,white asphodel (Asphodelus albus)
asphyxiant,asphyxiant
asphyxie,"asphyxia, asphyxiation"
asphyxier,to asphyxiate
asphyxique,asphyxic
asphérique,aspheric
aspi,(informal) young military officer(informal) vacuum cleaner; hoover(informal) aspie (person with Asperger’s syndrome)
aspic,"asp (Vipera aspis)asp (Naja haje)slanderer, libeller(cooking) aspic (dish)(slang, dated, rare) miserspike lavender, Lavandula latifolia"
aspidistra,aspidistra
aspirant,"aspirant(military) officer candidate, officer designate, midshipman"
aspirateur,vacuum cleaneraspirator
aspiratif,aspirational
aspiration,aspiration
aspirationnel,aspirational
aspiratoire,aspiratory
aspirer,"(intransitive, followed by à) to aspire (to wait, to long)(transitive) to aspirate (to produce an audible puff of breath. especially following a consonant)(transitive) to inhale, to breathe in(transitive) to extract, to suck up"
aspirine,(pharmacology) an aspirin (analgesic drug)
aspiré,aspirated
asple,"reel, spool"
asplénium,spleenwort
asporulé,(biology) asporulated
aspérifolié,"(botany) asperifoliate, asperifolious"
aspérité,asperityruggedness
aspérule,woodruff
asque,ascus
assadiste,Assadist
assagir,"(transitive, reflexive) to settle down, quieten down"
assagissement,settling down
assai,(music) assai
assaillant,assailantassailling
assaillir,to assail; to assault; to attack
assainir,"to clean up(finance) to stabiliseto heal, to remedy, to make healthierto sanitise (environment), to purify (water)(reflexive) to get healthier, to regain one's health"
assainissement,"healing, getting back to healthsanitationcleanup, cleaning uppurification"
assainisseur,"deodorant, sanitizerozonizer (user to sanitize)"
assaisonnement,"seasoning, flavouring(salad) dressing"
assaisonner,to season (to sprinkle with seasoning)
assamais,Assamese (language)
assarmenter,to prune a vine by removing branches
assassin,an assassin or other murderer
assassinat,assassination(law) first-degree murder (premeditated murder)
assassiner,(transitive) to assassinate
assaut,assault
assavoir,"(obsolete, except in Canada) to know"
asse,a type of pickaxe used in tunneling
asseau,a slater's hammer with a sharp edge
assemblage,"assemblage, gathering, assembly (process of assembling; result of this action)(carpentry) jointing (act of making a joint)(carpentry) joint(computing) a phase in compilation where an assembly language is translated into a binary file(viticulture) cuvée (wine produced from a mixture of several grape varieties)(archaeology) assemblage (group of different artifacts found in association with one another)(bioinformatics) sequence assembly (aligning and merging of DNA fragments to reconstruct a sequence)(bioinformatics) genome assembly (process of reassembling DNA sequences)(cartography) juxtaposition of several maps or cuttings to create a larger map"
assembler,to assemble
assembleur,assembler
assemblée,assembly
assemblée générale,"general meeting, general assembly"
assener,"to strike (a blow)to thrust out, fling (an argument, reply)"
assentiment,consent; approval
assentir,(archaic) to assent [+ à (object) = to]
asseoir,(transitive) to sit down; to get seatedto assert(reflexive) to sit down; to sit up; to take a seat
assermenter,"(transitive, law) to swear in"
assermenté,sworn (on oath)
asserter,(transitive) to assert
assertif,assertive
assertion,assertion
assertivement,assertively
assertivité,assertiveness
assertoire,(logic) assertoricassertory
assertorique,"(logic, mathematics) assertoric"
asservir,to enslave
asservissable,enslavable
asservissement,enslavementslaverycontrol engineering
asservisseur,enslaver
assesseur,"(law) assessor, judge advocate"
assessoral,assessorial
assette,a type of small pickaxe
assez,enoughquiterather
assibilation,(phonology) assibilation
assibiler,to assibilate
assida,a form of polenta made from pine kernels
assidu,"assiduous (hard-working, diligent)"
assiduité,"attendanceassiduity, diligence, studiousness"
assidûment,assiduously (in an assiduous manner)
assiette,"(archaic) manner of being seated, situation(horse racing) seat(nautical) trim, attitude, pitch attitude(accounting) basisdish (the food)plate, dish (the crockery)plateful"
assiette anglaise,a personal deli platter; a meal consisting mainly of cold meats
assiettée,plateful
assignable,assignable
assignat,(historical) assignat
assignation,"(law) summons, subpoena"
assignation à résidence,house arrest
assigner,to assign
assigner à résidence,(transitive) to put under house arrest
assigné,assigned
assimilable,assimilable
assimilateur,"assimilative, assimilatory"
assimilatif,assimilative
assimilation,(phonology) assimilation
