〇,0; zéro,ling2
一生,toute la vie,yi1 sheng1
一生一世,(expr. idiom.) toute une vie; pour la vie; pour toujours; éternellement,yi1 sheng1 yi1 shi4
一瘸一拐,boiter; clopiner,yi1 que2 yi1 guai3
一百,cent; 100,yi1 bai3
一盘散沙,(expr. idiom.) comme du sable mouvant; incapable de coopérer; désunion complète; désordre,yi1 pan2 san3 sha1
一目了然,(expr. idiom.) s'en rendre compte d'un coup d'oeil; sauter aux yeux; en avoir une idée nette,yi1 mu4 liao3 ran2
一直,toujours; jusque; tout droit,yi1 zhi2
一直以来,depuis toujours; jusqu'à maintenant,yi1 zhi2 yi3 lai2
一相情愿,ses propres illusions,yi1 xiang1 qing2 yuan4
一眨眼,en un clin d'oeil,yi1 zha3 yan3
一眼,un coup d'oeil; un regard rapide; un aperçu,yi1 yan3
一睹,regarder; avoir un coup d'oeil sur; observer (la splendeur de qch),yi1 du3
一瞥,jeter un coup d'oeil; échantillon,yi1 pie1
一瞬,en un clin d'oeil,yi1 shun4
一瞬间,fraction de seconde,yi1 shun4 jian1
一矢中的,(expr. idiom.) mettre dans le mille du premier coup,yi1 shi3 zhong4 di4
一知半解,avoir des connaissances superficielles; avoir un vernis de savoir; avoir demisavoir; en être encore à moitié ignorant,yi1 zhi1 ban4 jie3
一石二鸟,(expr. idiom.) tuer deux oiseaux avec une pierre; faire d'une pierre deux coups,yi1 shi2 er4 niao3
一碗,écuelle,yi1 wan3
一秉虔诚,(expr. idiom.) consciencieusement; sérieusement et sincèrement,yi1 bing3 qian2 cheng2
一种,un type de,yi1 zhong3
一穷二白,pauvre et vide,yi1 qiong2 er4 bai2
一窍不通,être complètement bouché; être stupide; ne rien comprendre (ou savoir) de; ignorer totalement qch; être une nullité; qch lui est totalement étranger,yi1 qiao4 bu4 tong1
一笑置之,écarter une question avec un sourire; laisser de côté en souriant,yi1 xiao4 zhi4 zhi1
一笔勾销,annuler d'un seul coup,yi1 bi3 gou1 xiao1
一等,de première classe,yi1 deng3
一等兵,caporal,yi1 deng3 bing1
一等奖,le premier prix,yi1 deng3 jiang3
一筹莫展,être à court de moyens; ne savoir que faire; être à deux doigts de la crise,yi1 chou2 mo4 zhan3
一箭双雕,(expr. idiom.) faire d'une pierre deux coups,yi1 jian4 shuang1 diao1
一箭雙鵰,faire d'une pierre deux coups,yi1 jian4 shuang1 diao1
一篇,recto,yi4 pian1
一类,même type; catégorie 1,yi1 lei4
一系列,suite; chaîne,yi1 xi4 lie4
一级,première classe; catégorie A,yi1 ji2
一级方程式,Formule 1,yi1 ji2 fang1 cheng2 shi4
一纸空文,(expr. idiom.) moins que rien,yi1 zhi3 kong1 wen2
一线,un rayon de; une lueur de,yi1 xian4
一经,dès que; à peine; aussitôt que; une fois,yi1 jing1
一统,unifier; unifié,yi1 tong3
一维,1D; unidimensionnel; à une dimension,yi1 wei2
一网打尽,littéralement : tout capturer dans un coup de filet; éliminer d'un seul coup; figuré : donner un grand coup de balai; tout rafler; faire main basse sur le tout,yi1 wang3 da3 jin4
一群,escadron,yi1 qun2
一群人,une foule; un groupe de personne,yi1 qun2 ren2
一肚皮,le ventre plein (de qch); plein de (qch),yi1 du4 pi2
一股,élément de convoi; élement de marche; rame de véhicules,yi1 gu3
一股子,une odeur de; une tache de; un filet de,yi1 gu3 zi5
一脉相承,"(expr. idiom.) qui remonte à la même origine (en parlant de tendances, d'idées etc.)",yi1 mai4 xiang1 cheng2
一脉相通,être de la même veine; être en lien étroit,yi1 mai4 xiang1 tong1
一脸茫然,perplexe; déconcerté,yi1 lian3 mang2 ran2
一腔,"plein de (zèle, colère, etc.)",yi1 qiang1
一臂之力,coup de main,yi1 bi4 zhi1 li4
一致,unanimement; à l'unanimité; identique; unanime,yi1 zhi4
一致性,homogénéité; cohérence; coordination,yi1 zhi4 xing4
一般,ordinaire; commun; aussi; tel,yi1 ban1
一般人,personne quelconque,yi1 ban1 ren2
一般性,généralisé; en général,yi1 ban1 xing4
一般见识,s'abaisser au niveau de qqn; se disputer avec qqn de moins bien informé,yi1 ban1 jian4 shi5
一行,groupe; délégation; suite,yi1 xing2
一衣带水,(séparé seulement par) une bande fine d'eau,yi1 yi1 dai4 shui3
一见倾心,avoir le coup de foudre; littéralement : tomber amoureux au premier regard,yi1 jian4 qing1 xin1
一见钟情,coup de foudre; tomber amoureux,yi1 jian4 zhong1 qing2
一视同仁,être impartial; traiter tout le monde à égalité; faire preuve d'une égale bonté à l'égard de tous; ne faire acception de personne; ne faire aucune discrimination,yi1 shi4 tong2 ren2
一览,un aperçu; un coup d'oeil,yi1 lan3
一览无遗,être bien visible,yi1 lan3 wu2 yi2
一览表,tableau synoptique,yi1 lan3 biao3
一触即发,(expr. idiom.) menacer d'éclater au moindre choc; être à deux doigts de la crise,yi1 chu4 ji2 fa1
一言,une phrase; brève remarque,yi1 yan2
一言一行,"(expr. idiom.) une parole, un acte; les mots et les actes; en parole et en acte",yi1 yan2 yi1 xing2
一言不发,(expr. idiom.) ne pas dire un mot; ne pas souffler mot; rester bouche cousue; ne pas desserrer les dents,yi1 yan2 bu4 fa1
一言为定,"littéralement : une parole, c'est convenu; marché conclu",yi1 yan2 wei2 ding4
一言为重,littéralement : à chaque mot accorder de l'importance; chaque mot compte; il faut tenir parole,yi1 yan2 wei2 zhong4
一言九鼎,(expr. idiom.) une seule parole vaut neuf tripodes; parole qui fait autorité,yi1 yan2 jiu3 ding3
一言千金,(expr. idiom.) une parole qui vaut mille onces d'or; parole qui fait autorité; parole de poids,yi1 yan2 qian1 jin1
一言难尽,(expr. idiom.) difficile à expliquer en un mot; c'est une longue histoire,yi1 yan2 nan2 jin4
一诺千金,(expr. idiom.) une promesse (qui) vaut mille onces d'or; une promesse qui doit être tenue,yi1 nuo4 qian1 jin1
一败涂地,subir une défaite écrasante,yi1 bai4 tu2 di4
一贫如洗,sans le sou; sans ressource; fauché,yi1 pin2 ru2 xi3
一贯,toujours; avec l'esprit de suite; conséquent; constant,yi1 guan4
一起,ensemble; avec; en compagnie de; en tout,yi1 qi3
一起玩,jouer ensemble,yi4 qi3 wan2
一路,tout le trajet; tout le chemin; suivre le même chemin; aller dans le même sens; du même genre,yi1 lu4
一路发,le chemin de la réussite,yi1 lu4 fa1
一路平安,bon voyage !,yi1 lu4 ping2 an1
一路顺风,bon voyage,yi1 lu4 shun4 feng1
一蹴即至,(expr. idiom.) arriver (à destination) en un seul pas; atteindre son but d'un seul coup; succès immédiat,yi1 cu4 ji2 zhi4
一蹴可几,(expr. idiom.) toucher au but du premier coup; succès immédiat,yi1 cu4 ke3 ji3
一蹴而就,(expr. idiom.) toucher au but de manière immédiate; succès immédiat; obtenir un résultat du premier coup,yi1 cu4 er2 jiu4
一蹴而得,(expr. idiom.) littéralement : obtenir en faisant un seul pas; succès immédiat; réussir du premier coup; toucher au but de manière immédiate,yi1 cu4 er2 de2
一蹶不振,(expr. idiom.) être incapable de se relever après une chute; défaite irrémédiable,yi1 jue2 bu4 zhen4
一身,tout le corps; un habit; seul,yi1 shen1
一轮,premier tour; première étape,yi1 lun2
一辈子,toute la vie,yi1 bei4 zi5
一辞莫赞,Ne pas être capable de donner sa propre opinion,yi1 ci2 mo4 zan4
一边,un côté; en même temps que,yi1 bian1
一过性,transitoire,yi1 guo4 xing4
一连,de suite; à la file; sans interruption,yi1 lian2
一连串,"chaine de (évènements, erreurs, travail, problèmes , succès, etc.); succession de (désastres); une série; une rangée (de magasins)",yi1 lian2 chuan4
一递一个,l'un après l'autre,yi1 di4 yi1 ge4
一通,une fois,yi1 tong4
一遍,une fois,yi1 bian4
一道,ensemble; avec; côte à côte; en compagnie de,yi1 dao4
一部,une partie; la plupart,yi1 bu4
一部分,une partie; la plupart,yi1 bu4 fen4
一针见血,toucher au point sensible; aller droit au coeur du problème; entrer dans le vif de la question,yi1 zhen1 jian4 xie3
一钱不值,ne vaut pas un sou; aucune valeur,yi1 qian2 bu4 zhi2
一钱如命,avare; pingre,yi1 qian2 ru2 ming4
一锅粥,(lit.) une casserole de porridge; (fig.) un bazar complet,yi1 guo1 zhou1
一锤定音,lit. réparer le ton avec un seul coup de marteau; fig. rendre la décision finale,yi1 chui2 ding4 yin1
一门心思,y mettre tout son coeur,yi1 men2 xin1 si5
一问三不知,ne pas être au courant,yi1 wen4 san1 bu4 zhi1
一队,élément de convoi; élement de marche; rame de véhicules,yi1 dui4
一阵,bouffée; souffle; bouffée,yi1 zhen4
一阵子,court laps de temps; tandis que; accès de colère,yi1 zhen4 zi5
一霎,en un éclair,yi1 sha4
一面,un côté,yi1 mian4
一面之词,un côté de l'histoire; déclaration unilatérale,yi1 mian4 zhi1 ci2
一项,un élément; une chose,yi2 xiang4
一飽眼福,(expr. idiom.) s'en régaler les yeux,yi1 bao3 yan3 fu2
一马平川,plaines,yi1 ma3 ping2 chuan1
一马当先,prendre les devants; prendre les choses en main; devenir leader,yi1 ma3 dang1 xian1
一鳞半爪,fragmentaire; incomplet,yi1 lin2 ban4 zhua3
一鸣惊人,"(expr. idiom.) d'un cri étonner les gens; se faire soudain remarquer; s'illustrer soudainement; A l'entendre chanter une première fois, tout le monde s'en est étonné.; Son début a fait sensation.",yi1 ming2 jing1 ren2
一黑早,à l'aube; tôt le matin,yi1 hei1 zao3
一鼓作气,dans un sursaut d'énergie,yi1 gu3 zuo4 qi4
一齐,ensemble; simultanément,yi1 qi2
丁,quatrième des 10 troncs célestes; quatrième; robuste; adulte mâle; aiguillon; clou; car. cycl.; (nom de famille),ding1
丁丁,Tintin,zheng1 zheng1
丁丑,Dingchou,ding1 chou3
丁二烯,"buta-1,3-diène",ding1 er4 xi1
丁亥,Dinghai,ding1 hai4
丁俊晖,Ding Junhui,ding1 jun4 hui1
丁卯,Dingmao,ding1 mao3
丁基,Butyle,ding1 ji1
丁字,Té; en forme de T,ding1 zi4
丁字裤,String (lingerie),ding1 zi4 ku4
丁忧,(lit.) être en deuil après la mort de ses parents,ding1 you1
丁烯,butène,ding1 xi1
丁烷,butane,ding1 wan2
丁玲,Ding Ling,Ding1 Ling2
丁肇中,Samuel Ting,Ding1 Zhao4 zhong1
丁酮,butanone,ding1 tong2
丁酸,Acide butanoïque,ding1 suan1
丁醇,butanol,ding1 chun2
丁零当啷,(onom.) ding dong; tintement de cloches; cliquetis sonores,ding1 ling5 dang1 lang1
丁香,giroflier; girofle; clou de girofle,ding1 xiang1
七,sept; 7,qi1
七七事变,Incident du pont Marco Polo,Qi1 Qi1 Shi4 bian4
七分,beaucoup,qi1 fen1
七十,soixante-dix; 70,qi1 shi2
七十一,soixante et onze,qi1 shi2 yi1
七十五,soixante-quinze,qi1 shi2 wu3
七十年代,les années 70,qi1 shi2 nian2 dai4
七喜,7 Up,Qi1 xi3
七嘴八舌,parler tous en même temps,qi1 zui3 ba1 she2
七国集团,G8,Qi1 guo2 Ji2 tuan2
七夕,Tanabata; Qi Qiao Jie,Qi1 xi1
七夕节,Qixi; festival du double-sept; Saint-Valentin chinoise; festival des filles,Qi1 xi1 jie2
七大,septième congrès national (du PCC),qi1 da4
七宗罪,Péché capital,qi1 zong1 zui4
七巧板,tangram,qi1 qiao3 ban3
七年之痒,Sept ans de réflexion,qi1 nian2 zhi1 yang3
七年级,Classe de cinquième française,qi1 nian2 ji2
七弦琴,Guqin,qi1 xian2 qin2
七彩,sept couleurs; variété de couleurs; multicolore; aux couleurs de l'arc en ciel,qi1 cai3
