〇,0; zéro,ling2
环球时报,Global Times,Huan2 qiu2 Shi2 bao4
环礁,atoll,huan2 jiao1
环绕,entourer,huan2 rao4
环节,maillon; chaînon,huan2 jie2
环节动物,Annelida,huan2 jie2 dong4 wu4
环行,faire le tour,huan2 xing2
环视,regarder tout autour; jeter un regard circulaire,huan2 shi4
环评,Étude d'impact,huan2 ping2
环路,voie périphérique; route périphérique,huan2 lu4
环顾,regarder autour de soi; jeter un regard circulaire,huan2 gu4
现,apparaître; présent; actuel; à l'improviste,xian4
现下,maintenant; en ce moment,xian4 xia4
现世宝,bon à rien; imbécile,xian4 shi4 bao3
现今,courant,xian4 jin1
现代,époque contemporaine; époque moderne,xian4 dai4
现代人,homme moderne; Homo sapiens,xian4 dai4 ren2
现代化,modernisation,xian4 dai4 hua4
现代史,histoire moderne,xian4 dai4 shi3
现代性,modernité,xian4 dai4 xing4
现代汉语,Mandarin standard,xian4 dai4 han4 yu3
现代汽车,Hyundai Motor,xian4 dai4 qi4 che1
现代派,Modernisme,xian4 dai4 pai4
现代舞,Danse moderne,xian4 dai4 wu3
现任,actuellement en fonction,xian4 ren4
现值,valeur actuelle; valeur actualisée,xian4 zhi2
现在,maintenant; actuellement,xian4 zai4
现场,lieu; site; sur place,xian4 chang3
现场会,réunion sur place,xian4 chang3 hui4
现存,en stock,xian4 cun2
现实,réalité,xian4 shi2
现实主义,réalisme,xian4 shi2 zhu3 yi4
现实生活,vie réelle; la vraie vie,xian4 shi2 sheng1 huo2
现年,âge actuel,xian4 nian2
现役,activité,xian4 yi4
现成,tout fait; prêt à porter,xian4 cheng2
现时,actuellement; fraîcheur,xian4 shi2
现有,actuellement disponible,xian4 you3
现款,liquidité; finance; fonds,xian4 kuan3
现炒现卖,lit. frire et vendre sur place; fig. (pour de nouveaux diplômés) appliquer les connaissances toutes-fraiches gagné à l'école,xian4 chao3 xian4 mai4
现状,statu quo; situation actuelle,xian4 zhuang4
现行,en vigueur; en application; flagrant; actif,xian4 xing2
现行犯,criminel pris en flagrant délit,xian4 xing2 fan4
现象,phénomène,xian4 xiang4
现象学,phénoménologie,xian4 xiang4 xue2
现货,Prix spot,xian4 huo4
现身,paraître dans la chair,xian4 shen1
现金,argent comptant; argent liquide,xian4 jin1
现金流,Flux de trésorerie,xian4 jin1 liu2
现金流量,flux de trésorerie,xian4 jin1 liu2 liang4
现金流量表,Tableau de flux de trésorerie; Tableau de financement,xian4 jin1 liu2 liang4 biao3
现钱,argent comptant,xian4 qian2
现阶段,au stade actuel,xian4 jie1 duan4
玲玲,(onom.) tintement,ling2 ling2
玲珑,raffiné; agile; mignon,ling2 long2
玲珑剔透,extrêmement bien fait; très malin,ling2 long2 ti1 tou4
玳,tortue marine,dai4
玳瑁,Tortue imbriquée,dai4 mao4
玷,tache; défaut,dian4
玷污,salir,dian4 wu1
玷辱,insuter; outrager; déshonorer,dian4 ru3
玹,pierre précieuse ressemblant à une jade; coloré comme une jade,xuan2
玺,sceau,xi3
玻,verre (matière),bo1
玻利维亚,Bolivie,Bo1 li4 wei2 ya4
玻尔兹曼,Ludwig Boltzmann,Bo1 er3 zi1 man4
玻璃,verre; amour entre deux hommes (argot),bo1 li5
玻璃体,Corps vitré,bo1 li2 ti3
玻璃化,vitrification,bo1 li5 hua4
玻璃工艺,verrerie,bo1 li2 gong1 yi4
玻璃幕墙,Mur-rideau,bo1 li5 mu4 qiang2
玻璃杯,verre à boire,bo1 li5 bei1
玻璃棉,laine de verre,bo1 li5 mian2
玻璃管,tube de verre,bo1 li5 guan3
玻璃纤维,Plastique à renfort de verre,bo1 li2 xian1 wei2
玻璃钢,Plastique à renfort de verre,bo1 li5 gang1
玼,cristallin; limpide,ci3
珀,ambre,po4
珀西・比希・雪莱,Percy Bysshe Shelley,Po4 xi1 · Bi3 xi1 · Xue3 lai2
珂,collotypie,ke1
珃,jade,ran3
珇,sculpture de jade,zu3
珈,gamma; bijoux,jia1
珊,corail,shan1
珊瑚,corail,shan1 hu2
珊瑚岛,Atoll,shan1 hu2 dao3
珊瑚礁,récif corallien,shan1 hu2 jiao1
珊瑚虫,corail,shan1 hu2 chong2
珌,bijou sur fourreau,bi4
珍,précieux; rarissime,zhen1
珍品,trésor; objet précieux,zhen1 pin3
珍奇,rare; curieux,zhen1 qi2
珍妮,Jenny,zhen1 ni2
珍惜,chérir; apprécier; épargner,zhen1 xi1
珍爱,chérir; apprécier hautement; aimer,zhen1 ai4
珍珠,perle,zhen1 zhu1
珍珠奶茶,Thé aux perles,zhen1 zhu1 nai3 cha2
珍珠岩,perlite (roche),zhen1 zhu1 yan2
珍珠港,Pearl Harbor,Zhen1 zhu1 Gang3
珍禽奇兽,animaux rares et oiseaux; espèces protégées,zhen1 qin2 qi2 shou4
珍稀,estimer; apprécier,zhen1 xi1
珍藏,conserver précieusement; garder soigneusement,zhen1 cang2
珍贵,précieux,zhen1 gui4
珍重,apprécier; tenir à; se soigner; se ménager,zhen1 zhong4
珏,pierres précieuses montées en bijoux,jue2
珐,émaux; émail cloisonné,fa4
珐琅,émail,fa4 lang2
珐琅质,émail,fa4 lang2 zhi4
珑,tintement de bijoux ou de pendentifs,long2
珓,paire d'objets hémisphériques utilisés dans la divination,jiao4
珔,(jade),jian4
珖,(jade),guang1
珙,arbre aux mouchoirs; gros disque de jade,gong3
珙桐,Davidia involucrata,gong3 tong2
珚,(sorte de jade),yan1
珞巴族,Lhoba,Luo4 ba1 zu2
珠,perle; goutte,zhu1
珠三角,Delta de la rivière des Perles,Zhu1 San1 jiao3
珠光宝气,couvert de bijoux; femme parée d'or et de diamants,zhu1 guang1 bao3 qi4
珠子,perle,zhu1 zi5
珠宝,joaillerie,zhu1 bao3
珠峰,Everest; mont Chomolungma; Qomolangma,Zhu1 feng1
珠江,Rivière des Perles,Zhu1 jiang1
珠江三角洲,Delta de la rivière des Perles,Zhu1 jiang1 san1 jiao3 zhou1
珠海,Zhuhai,Zhu1 hai3
珠穆朗玛,Everest; mont Chomolungma; Qomolangma,Zhu1 mu4 lang3 ma3
珠穆朗玛峰,Everest,Zhu1 mu4 lang3 ma3 Feng1
珠算,calcul sur boulier,zhu1 suan4
珡,Guqin; cithare,qin2
珣,(pierre),xun2
珥,boucles d'oreilles de jade ou de pierre précieuse; poignée d'épée en forme d'oreilles; halo autour de la lune ou du soleil,er3
珧,nacre,yao2
珩,bijoux de ceinture,heng2
珪,tablette de jade; silicium,gui1
班,classe; équipe; relais; escouade; rang; régulier,ban1
班上,dans le groupe; camarades de classe,ban1 shang4
班主任,professeur principal; maître-responsable de classe,ban1 zhu3 ren4
班会,réunion de classe,ban1 hui4
班克斯,Banks (nom de famille); Banksy,Ban1 ke4 si1
班台,bureau (meuble),ban1 tai2
班固,Ban Gu,Ban1 Gu4
班子,troupe d'acteurs; groupe,ban1 zi5
班师,retirer les troupes du front; retour triomphal de l'armée,ban1 shi1
班底,les membres stables d'une troupe de théâtre; les membres permanents d'une organisation,ban1 di3
班房,gnouf,ban1 fang2
班期,"horaire; programme (vol, voyage)",ban1 qi1
班机,vol régulier,ban1 ji1
班次,classe (d'élèves); nombre des départs,ban1 ci4
班禅,Panchen-lama,Ban1 chan2
班禅额尔德尼,Panchen-lama,Ban1 chan2 E2 er3 de2 ni2
班级,classe (école),ban1 ji2
班组,équipe; groupe,ban1 zu3
班花,la plus jolie fille de la classe,ban1 hua1
班草,le plus beau garçon de la classe,ban1 cao3
班车,navette; car de service,ban1 che1
班轮,liner,ban1 lun2
班长,chef de classe; chef d'escouade,ban1 zhang3
班门弄斧,manier la hache devant la porte du maître charpentier Lu Ban; apprendre aux poissons à nager; étaler son peu de savoir devant un éminent maître en la matière,Ban1 men2 nong4 fu3
珲,(jade fin),hun2
珲春,Hunchun,Hun2 chun1
珶,jade blanc porté sur la ceinture,di4
珷,pierre inférieure; un type de jade,wu3
珺,beau jade,jun4
琁,belle jade; étoile,xuan2
球,globe; balle; ballon,qiu2
球体,boule (topologie),qiu2 ti3
球友,(sport de balle) (joueur) enthousiaste; copain de golf (ou copain de tennis etc.),qiu2 you3
球员,membre d'une équipe; joueur (jeu de balle),qiu2 yuan2
球场,terrain de jeu,qiu2 chang3
球形,Boule (topologie),qiu2 xing2
球拍,raquette,qiu2 pai1
球星,star du sport (sport de ballon comme le football),qiu2 xing1
球棍,(sport) club; batte,qiu2 gun4
球棒,batte de baseball,qiu2 bang4
球状,sphéricité,qiu2 zhuang4
球状物,boule,qiu2 zhuang4 wu4
球童,ramasseur de balles; caddie (golf),qiu2 tong2
球类,sports de balle,qiu2 lei4
球网,filet,qiu2 wang3
球艺,technique de jeu (de ballon),qiu2 yi4
球茎,Corme (bulbe),qiu2 jing1
球菌,cocci (bactérie sphérique),qiu2 jun1
球蛋白,Globuline,qiu2 dan4 bai2
球赛,match,qiu2 sai4
球迷,fan (d'une activité),qiu2 mi2
球道,fairway (golf),qiu2 dao4
球门,goal; but,qiu2 men2
球队,équipe,qiu2 dui4
球面,Sphère,qiu2 mian4
球鞋,souliers de sport; chaussures de tennis,qiu2 xie2
球馆,(sports) stade,qiu2 guan3
琅,pur; (gemme),lang2
琅琅,ding ding; tintement; tintamarre,lang2 lang2
理,gérer; mettre en ordre; raison; vérité; texture,li3
理事,membre du conseil; administrateur; gérant,li3 shi4
理事会,conseil; comité,li3 shi4 hui4
理事长,directeur général,li3 shi4 zhang3
理会,comprendre; saisir; (employé souvent dans la négation) prêter attention à; prendre de l'intérêt à,li3 hui4
理儿,raison,li3 r
理光,Ricoh,Li3 guang1
理化因素,facteurs physico-chimiques,li3 hua4 yin1 su4
理发,se faire couper les cheveux,li3 fa4
理发师,barbier; coiffeur,li3 fa4 shi1
理发店,salon de coiffure,li3 fa4 dian4
理学,Néo-confucianisme,li3 xue2
理学士,Baccalauréat en sciences,li3 xue2 shi4
理工,la science et l'ingénierie en tant que sujets académiques,li3 gong1
理工大学,université polytechnique,li3 gong1 da4 xue2
理应,devrait,li3 ying1
理念,idée,li3 nian4
理性,raison; rationalité; rationnel,li3 xing4
理性认识,cognition; connaissance rationnelle,li3 xing4 ren4 shi5
理想,idéal; perfection; parfait,li3 xiang3
理想主义,idéalisme,li3 xiang3 zhu3 yi4
理想化,idéaliser,li3 xiang3 hua4
理想国,La République,li3 xiang3 guo2
理所当然,Certainement !; Cela va sans dire,li3 suo3 dang1 ran2
理智,raison; raisonnable,li3 zhi4
理查,Richard,Li3 cha2
理查森,Richardson,Li3 cha2 sen1
理由,raison; cause,li3 you2
理疗,physiothérapie,li3 liao2
理直气壮,être fort de son droit; être dans le vrai et avoir pleine confiance en soi-même; parler (ou : répliquer) d'un ton péremptoire,li3 zhi2 qi4 zhuang4
理睬,prêter attention à,li3 cai3
理神论,déisme; théorie théologique selon laquelle Dieu n'intervient pas dans l'univers,li3 shen2 lun4
理科,faculté de science; sciences naturelles,li3 ke1
理解,comprendre (les raisons de qqn),li3 jie3
理解力,jugement; compréhension,li3 jie3 li4
理论,théorie,li3 lun4
理论上,en théorie; théoriquement,li3 lun4 shang4
理论家,théoricien,li3 lun4 jia1
理财,administrer les finances,li3 cai2
理顺,redresser; rajuster; rectifier,li3 shun4
琇,(jade),xiu4
琉,pierre précieuse,liu2
琉球,Ryukyu (îles),Liu2 qiu2
琉璃,vernis; vernissé,liu2 li5
琉璃瓦,tuile vernissée,liu2 li2 wa3
琏,vase; coupe,lian3
琐,fragment; petit,suo3
琐事,foutaise; frivolité; futilité; babiole; broutilles; bêtise,suo3 shi4
琐碎,menu; insignifiant,suo3 sui4
琖,coupe de vin,zhan3
琚,gemmes ornementales pour ceinture,ju1
琛,pierre précieuse,chen1
琠,pierres précieuse utilisées comme boucle d'oreille; boucles d'oreilles en jade,dian3
琢,polir; tailler les pierres précieuses,zhuo2
琢磨,réfléchir à; envisager,zuo2 mo5
琤,tintement de pierres précieuses; cliquetis du jade,cheng1
琥,jade; ambre,hu3
琥珀,ambre,hu3 po4
琥珀色,couleur d'ambre,hu3 po4 se4
琥珀酸,Acide succinique,hu3 po4 suan1
琦,bibelot; pierre de valeur,qi2
琨,(jade),kun1
琪,jade fin,qi2
琫,bijou d'ornement de fourreau,beng3
琬,bannière de royauté,wan3
琭,(jade),lu4
琮,"récipient de jade, de quatre faces perpendiculaires à l'extérieur, cylindrique à l'intérieur, utilisé lors des rites",cong2
琯,flûte de jade,guan3
琰,pierre précieuse; étincelles de pierres précieuses,yan3
琱,graver des pierres précieuses,diao1
琲,collier,bei4
琳,beau jade,lin2
琳琅满目,riche collection d'objets d'art,lin2 lang2 man3 mu4
琳达,Linda; Lynda,lin2 da2
琴,nom générique de certains instruments de musique à corde,qin2
琴弦,corde(s) (d'un instrument de musique),qin2 xian2
琴酒,Gin (boisson),qin2 jiu3
琴键,touche de piano,qin2 jian4
琵,guitare,pi2
琵琶,pipa (instrument de musique),pi2 pa5
琶,guitare,pa2
琼,beau jade,qiong2
琼州海峡,DÃ©troit de Qiongzhou,Qiong2 zhou1 Hai3 xia2
琼瑶,Chiung Yao,Qiong2 Yao2
琼脂,Agar-agar,qiong2 zhi1
瑀,(calcédoine),yu3
瑁,couvercle,mao4
瑂,(pierre qui ressemble à la jade),mei2
瑄,pièce de jade ornementale,xuan1
瑏,(jade),chuan1
瑔,Jade; coquillage,quan2
瑕,défaut d'une pierre précieuse; tache; vice,xia2
瑕疵,tache; imperfection,xia2 ci1
瑗,gros anneau de jade,yuan4
瑙,cornaline; pierres précieuses,nao3
瑙鲁,Nauru,Nao3 lu3
瑚,corail,hu2
瑛,beau jade; éclat; lustre du jade,ying1
瑜,beau jade; point fort; qualité,yu2
瑜伽,Yoga,yu2 jia1
瑜珈,yoga,yu2 jia1
瑞,propice; favorable,rui4
瑞典,Suède,Rui4 dian3
瑞典人,Suédois (peuple),rui4 dian3 ren2
瑞典语,suédois (langue),Rui4 dian3 yu3
瑞利,John William Strutt Rayleigh,rui4 li4
瑞士,Suisse,Rui4 shi4
瑞士人,Suisse,Rui4 shi4 ren2
瑞士军刀,couteau suisse,Rui4 shi4 jun1 dao1
瑞气,de bon augure,rui4 qi4
瑞琪儿,Rachèle,rui4 qi2 er2
瑞芳,Ruifang,Rui4 fang1
瑞达,Reidar,rui4 da2
瑞雪,neige bienfaisante,rui4 xue3
瑞香,chicha; kobe,rui4 xiang1
瑟,cithare à 25 (ou 16) cordes,se4
瑟缩,trembler de froid,se4 suo1
瑢,ornements de pierres précieuses pour les ceintures,rong2
瑭,(jade),tang2
瑰,perle rose,gui1
瑰丽,extrêmement beau; magnifique,gui1 li4
瑰宝,trésor; rareté,gui1 bao3
瑳,éclat d'une pierre précieuse,cuo3
瑶,jade précieux; jaspe,yao2
瑶族,Yao (ethnie),Yao2 zu2
瑷,jaspe; pierre précieuse,ai4
瑾,pierre précieuse,jin3
瑿,pierre noir comme le jade; jet,yi1
璀,éclat de pierres précieuses,cui3
璀璨,resplendissant; brillant,cui3 can4
璀璨夺目,brillant; lumineux,cui3 can4 duo2 mu4
璁,(bijou),cong1
璃,verre,li2
璅,fragmentaire; insignifiant,suo3
璆,(pierre); tinter,qiu2
璇,(jade),xuan2
璈,(instrument de musique traditionnel),ao2
璊,(pierre); rouge,men2
璋,tablette,zhang1
璎,pierre précieuse; pierre qui ressemble au jade,ying1
璎珞,collier de perles ou de jade,ying1 luo4
璐,jade fin,lu4
璚,(pierre rouge),qiong2
璜,bijou,huang2
璞,jade brut,pu2
璟,éclat de gemme,jing3
璠,morceau de jade précieux,fan2
璥,(gemme),jing3
璧,disque de jade,bi4
璨,gemme; pierre précieuse,can4
璩,(anneau de jade); (nom de famille),qu2
璫,Boucle d'oreille,dang1
璯,ornement de jade brodé sur une coiffe,hui4
璵,(pierre),yu2
璸,(perle),bin1
璺,fêlure,wen4
璿,(jade),xuan2
瓅,brillance (des perles),li4
瓖,ornements,xiang1
瓘,jade utilisé pour fabriquer des gobelets,guan4
瓜,melon; courge; pastèque,gua1
瓜农,producteurs de melons,gua1 nong2
瓜分,démembrement; dépecage; dépècement; dépecer; démembrer; dislocation,gua1 fen1
瓜子,graine de tournesol ou de melon,gua1 zi3
瓜果,fruits,gua1 guo3
瓜田不纳履,lit. n'attachez pas vos lacets de chaussures dans un champs de melon; fig. ne faites rien qui pourrait éveiller des soupçons; les actes des innocent pourraient être mal interprétés,gua1 tian2 bu4 na4 lu:3
瓜菜,fruits et légumes,gua1 cai4
瓜葛,rapport; implication,gua1 ge2
瓜达尔,Gwadar,Gua1 da2 er3
瓞,jeune melon,die2
瓠,Calebasse,hu4
瓢,louche faite d'une demi-calebasse,piao2
瓢虫,coccinellidae,piao2 chong2
瓣,"morceau; segment; section; fragment; pièce; pétale; gousse; (classificateur pour les pièces, segments, etc.)",ban4
瓣膜,valvule,ban4 mo2
瓤,pulpe; cartilage,rang2
瓦,tuile; watt,wa3
瓦伦西亚,Valence (Espagne),wa3 lun2 xi1 ya4
瓦尔,vör,wa3 er3
瓦尔多,Valdo; Waldo,wa3 er3 duo1
瓦尔德,Vardo,Wa3 er3 de2
瓦尔特,Walter,Wa3 er3 te4
瓦尔登湖,Walden ou la vie dans les bois,wa3 er3 deng1 hu2
瓦工,carrelage; maçonnerie; plâtrage,wa3 gong1
瓦当,avant-toit,wa3 dang1
瓦斯,gaz,wa3 si1
瓦朗谢纳,Valencienne,Wa3 lang3 xie4 na4
瓦格纳,Richard Wagner,wa3 ge2 na4
瓦楞,rangée de titres; ondulés,wa3 leng2
瓦楞纸,carton (matériau),wa3 leng2 zhi3
瓦片,tuile,wa3 pian4
瓦特,Watt,wa3 te4
瓦砾,décombres; décombres,wa3 li4
瓦萨比,wasabi (terme emprunté),wa3 sa4 bi3
瓦西里,Basile,Wa3 xi1 li3
瓦解,désagréger; se désagréger,wa3 jie3
瓦解冰泮,désintégration complète,wa3 jie3 bing1 pan4
瓦里奥,Wario,wa3 li3 ao4
瓧,decawatt,shi2
瓬,potier; céramiste,fang3
瓮,bonbonne,weng4
瓮中之鳖,(expr. idiom.) comme une tortue dans une jarre (elle ne peut s'échapper),weng4 zhong1 zhi1 bie1
瓮城,Barbacane,weng4 cheng2
瓮声瓮气,(expr. idiom.) parler à voix basse,weng4 sheng1 weng4 qi4
瓯,tasse; bol,ou1
瓴,tuile,ling2
瓵,jarre de terre,yi2
瓶,bouteille; flacon,ping2
瓶塞,bouchon de bouteille,ping2 sai1
瓶子,bouteille,ping2 zi5
瓶装,en bouteille,ping2 zhuang1
瓶装水,eau en bouteille,ping2 zhuang1 shui3
瓶颈,bottleneck,ping2 jing3
瓷,porcelaine,ci2
瓷公鸡,(insulte) avare; radin; pingre,ci2 gong1 ji1
瓷器,porcelaine,ci2 qi4
瓷砖,zellige,ci2 zhuan1
瓸,hectowatt,bai3
瓻,grosse jarre à vin,chi1
瓼,centiwatt,li3
瓼,centiwatt (arch.),li3 wa3
甀,vase avec un petit bec,zhui4
甄,examiner; distinguer,zhen1
甄别,examiner; distinguer,zhen1 bie2
甄选,sélectionner; choisir,zhen1 xuan3
甇,jarre de terre avec un long cou,ying1
甑,marmite en terre pour cuire le riz,zeng4
甒,vase; pot,wu3
甓,grande brique,pi4
甔,grande jarre,dan1
甕,jarre,weng4
甘,volontiers; doux; agréable,gan1
甘丹寺,Ganden,Gan1 dan1 si4
甘之如饴,lit. aussi doux que le sirop; endurer l'épreuve avec plaisir; un glouton pour une punition,gan1 zhi1 ru2 yi2
甘于,"être prêt à; se contenter de; accepter (restriction, sacrifice, risques, etc.)",gan1 yu2
甘南州,Préfecture autonome tibétaine de Gannan,Gan1 nan2 zhou1
甘味,douceur; goût sucré,gan1 wei4
甘孜州,Préfecture autonome tibétaine de Garzê,Gan1 zi1 zhou1
甘宁,Gan Ning,gan1 ning2
甘州区,District de Ganzhou,Gan1 zhou1 qu1
甘心,volontiers; de plein gré,gan1 xin1
甘心情愿,(expr. idiom.) volontiers et avec plaisir,gan1 xin1 qing2 yuan4
甘愿,de bon coeur; volontiers,gan1 yuan4
甘拜下风,se retirer avec élégance; se reconnaître vaincu,gan1 bai4 xia4 feng1
甘比亚,Gambie,Gan1 bi3 ya4
甘氨酸,glycine (acide aminé),gan1 an1 suan1
甘汞,calomel,gan1 gong3
甘油,glycérine,gan1 you2
甘特图,Diagramme de Gantt,gan1 te4 tu2
甘甜,doux; sucré,gan1 tian2
甘纳许,ganache (terme emprunté),gan1 na4 xu3
甘肃,Gansu,Gan1 su4
甘苦,douceur et amertumes de la vie; joies et peines; partager joies et épreuves; prendre part à la joie et à la douleur de qqn; être solidaire pour le meilleur et pour le pire; dureté d'un travail,gan1 ku3
甘草,réglisse,gan1 cao3
甘蓝,chou,gan1 lan2
甘蔗,canne à sucre,gan1 zhe5
甘蔗汁,jus de canne à sucre,gan1 zhe4 zhi1
甘薯,patate douce,gan1 shu3
甘道夫,Gandalf,gan1 dao4 fu1
甘露,Ganlou (53-50 av. J.-C.),gan1 lu4
甘露醇,Mannitol,gan1 lu4 chun2
甙,Hétéroside,dai4
甚,très; extrêmement; plus que,shen4
甚为,très; extrêmement,shen4 wei2
甚么,quoi,shen2 me5
甚嚣尘上,(expr. idiom.) clameur soulève la poussière; une immense clameur; soulever une énorme puanteur,shen4 xiao1 chen2 shang4
甚或,si bien que; dans la mesure où; même,shen4 huo4
甚而,même; tant que,shen4 er2
甚至,même; voire,shen4 zhi4
甚至于,tellement (que); même (dans la mesure de),shen4 zhi4 yu2
甜,sucré; doux,tian2
甜味,douceur; goût sucré,tian2 wei4
甜味剂,édulcorant,tian2 wei4 ji4
甜品,Dessert,tian2 pin3
甜头,douceur; goût sucré; bénéfice; avantage; intérêt,tian2 tou5
甜心,amoureux,tian2 xin1
甜点,dessert; friandise,tian2 dian3
甜瓜,melon; cantaloup,tian2 gua1
甜甜圈,Donut,tian2 tian2 quan1
甜睡,bien dormir,tian2 shui4
甜美,sucré; agréable,tian2 mei3
甜菊糖,Stévioside,tian2 ju2 tang2
甜菜,betterave,tian2 cai4
甜蜜,doux; agréable,tian2 mi4
甜言,mots doux; beaux discours,tian2 yan2
甜言蜜语,(expr. idiom.) paroles mielleuses ou doucereuses; belles paroles,tian2 yan2 mi4 yu3
甜酒,ratafia,tian2 jiu3
甜酒酿,riz fermenté,tian2 jiu3 niang4
甜食,sucreries; confiserie; friandise,tian2 shi2
甜高粱,sorgho sucré,tian2 gao1 liang2
甝,tigre blanc,han2
生,vie; existence; élève; cru; inconnu; étranger; accoucher; naître; pousser; vivre,sheng1
生下,donner naissance,sheng1 xia4
生不逢时,(expr. idiom.) né au mauvais moment; malchanceux; né sous une mauvaise étoile,sheng1 bu4 feng2 shi2
生丝,soie grège,sheng1 si1
生产,production,sheng1 chan3
生产企业,fabricant; entreprise de production,sheng1 chan3 qi3 ye4
生产关系,rapports de production,sheng1 chan3 guan1 xi4
生产力,productivité,sheng1 chan3 li4
生产厂,usine de production,sheng1 chan3 chang3
生产商,fabricant; constructeur,sheng1 chan3 shang1
生产国,pays producteur,sheng1 chan3 guo2
生产基地,base de production,sheng1 chan3 ji1 de5
生产总值,Produit intérieur brut; PIB; P.I.B.,sheng1 chan3 zong3 zhi2
生产成本,coûts de production,sheng1 chan3 cheng2 ben3
生产技术,technologie de production,sheng1 chan3 ji4 shu4
生产率,productivité; rendement,sheng1 chan3 lu:4
生产管理,Manufacturing Process Management,sheng1 chan3 guan3 li3
生产线,chaîne de production,sheng1 chan3 xian4
生产经营,production et gestion,sheng1 chan3 jing1 ying2
生产者,autotrophie,sheng1 chan3 zhe3
生产能力,capacité de production; productivité,sheng1 chan3 neng2 li4
生产要素,facteurs de production,sheng1 chan3 yao4 su4
生产设备,équipement de production; équipement de fabrication,sheng1 chan3 she4 bei4
生产资料,moyens de production,sheng1 chan3 zi1 liao4
生产车间,atelier de production,sheng1 chan3 che1 jian1
生产过剩,surproduction,sheng1 chan3 guo4 sheng4
生产过程,cours de production; processus de fabrication,sheng1 chan3 guo4 cheng2
生产量,production,sheng1 chan3 liang4
生产队,équipe de production,sheng1 chan3 dui4
生人,étranger; inconnu,sheng1 ren2
生僻,peu commun; peu utilisé; rare,sheng1 pi4
生光,émettre une lumière,sheng1 guang1
生养,élever; supporter,sheng1 yang3
生冷,plats crus ou froid,sheng1 leng3
生出,donner naissance à; donner naissance à,sheng1 chu1
生前,de son vivant; de son vivant,sheng1 qian2
生力军,troupes fraîches; force vive; jeunes membres d'une organisation,sheng1 li4 jun1
生动,vivant,sheng1 dong4
生动活泼,vif; vivant et vigoureux,sheng1 dong4 huo2 po5
生化,biochimie,sheng1 hua4
生厌,dégoûter; ennuyeux; irritant; perdre son charme; assommant,sheng1 yan4
生发,émerger et se développer; développer,sheng1 fa1
生吃,nourriture crue,sheng1 chi1
生命,vie,sheng1 ming4
生命力,vitalité,sheng1 ming4 li4
生命周期,cycle de vie,sheng1 ming4 zhou1 qi1
生命科学,sciences de la Vie,sheng1 ming4 ke1 xue2
生命线,ligne de vie,sheng1 ming4 xian4
生啤酒,bière pression,sheng1 pi2 jiu3
生地,racine de Rehmannia,sheng1 di4
生姜,gingembre frais,sheng1 jiang1
生子,donner naissance à un enfant ou des enfants,sheng1 zi3
生字,mot inconnu; caractère nouveau,sheng1 zi4
生存,survivre; exister,sheng1 cun2
生存权,droit à la vie,sheng1 cun2 quan2
生存率,taux de survie,sheng1 cun2 shuai4
生存环境,cadre de vie,sheng1 cun2 huan2 jing4
生孩子,avoir des enfants; accoucher; enfanter; donner naissance; mettre au monde un enfant,sheng1 hai2 zi5
生平,vie; biographie,sheng1 ping2
生平事迹,réalisation de toute une vie,sheng1 ping2 shi4 ji4
生平简介,esquisse biographique,sheng1 ping2 jian3 jie4
生态,écologie,sheng1 tai4
生态农业,éco-agriculture,sheng1 tai4 nong2 ye4
生态友好型,respectueux de l'environnement; écologiquement durable,sheng1 tai4 you3 hao3 xing2
生态学,écologie; valeur écologique,sheng1 tai4 xue2
生态学家,écologiste,sheng1 tai4 xue2 jia1
生态家园,écohabitat,sheng1 tai4 jia1 yuan2
生态平衡,équilibre de la nature; équilibre biologique; équilibre écologique,sheng1 tai4 ping2 heng2
生态旅游,écotourisme,sheng1 tai4 lu:3 you2
生态系统,écosystème,sheng1 tai4 xi4 tong3
生怕,craindre,sheng1 pa4
生性,dispositions naturelles; nature; tempérament,sheng1 xing4
生息,vivre; exister; se multiplier; se reproduire,sheng1 xi1
生意,commerce; affaires,sheng1 yi5
生意人,homme d'affaires; businessman,sheng1 yi5 ren2
生意经,le sens des affaires,sheng1 yi5 jing1
生成,devenir,sheng1 cheng2
生成器,monteur (patron de conception),sheng1 cheng2 qi4
生成物,produit de réaction,sheng1 cheng2 wu4
生手,novice; débutant; inexpérimenté,sheng1 shou3
生搬硬套,copier servilement; transposer mécaniquement,sheng1 ban1 ying4 tao4
生擒,capturer; captiver,sheng1 qin2
生效,entrer en vigueur; donner des résultats,sheng1 xiao4
生日,anniversaire,sheng1 ri4
生日卡,carte d'anniversaire,sheng1 ri4 ka3
生日快乐,Joyeux anniversaire !; Bon anniversaire !,sheng1 ri4 kuai4 le4
生日礼物,cadeau d'anniversaire,sheng1 ri4 li3 wu4
生日蛋糕,gâteau d'anniversaire,sheng1 ri4 dan4 gao1
生机,opportunité de vivre; sursis à la mort; force de vie; vitalité,sheng1 ji1
生机勃勃,plein de vitalité,sheng1 ji1 bo2 bo2
生机盎然,plein de vie; exubérant,sheng1 ji1 ang4 ran2
生死,la vie et la mort,sheng1 si3
生死关头,Vivre et laisser mourir,sheng1 si3 guan1 tou2
生死存亡,question de vie ou de mort,sheng1 si3 cun2 wang2
生死攸关,question de vie ou de mort,sheng1 si3 you1 guan1
生殖,reproduction,sheng1 zhi2
